Name,Population,Pop2000,IncomePerCapita,PercentCollegeGrad,MedianRent,CommuteTime,LandArea
"Wood, TX",41964,36752.0,26537,15.3,$440,30.1,645.23
"Yoakum, TX",7879,7322.0,35320,16.3,$402,16.3,799.71
"Young, TX",18550,17943.0,36111,13.5,$393,16.8,914.47
"Zapata, TX",14018,12182.0,17637,8.9,$281,15.9,998.41
"Zavala, TX",11677,11600.0,15815,7.5,$304,16.8,1297.41
"Beaver, UT",6629,6005.0,27240,11.6,$477,13.5,2589.88
"Box Elder, UT",49975,42745.0,25898,21.7,$496,21.3,5745.55
"Cache, UT",112656,91391.0,22874,35.0,$514,16.2,1164.81
"Carbon, UT",21403,20422.0,28730,15.0,$398,17.4,1478.49
"Daggett, UT",1059,921.0,19941,14.2,$400,15.6,696.98
"Davis, UT",306479,238994.0,31518,32.7,$685,22.7,298.78
"Duchesne, UT",18607,14371.0,32996,13.9,$503,21.0,3240.95
"Emery, UT",10976,10860.0,23572,12.7,$413,19.6,4462.31
"Garfield, UT",5172,4735.0,24167,19.5,$329,16.2,5175.12
"Grand, UT",9225,8485.0,25852,23.0,$537,12.4,3671.54
"Iron, UT",46163,33779.0,21103,26.5,$533,15.3,3296.68
"Juab, UT",10246,8238.0,22374,12.7,$471,26.4,3392.28
"Kane, UT",7125,6046.0,29663,17.8,$410,18.3,3990.23
"Millard, UT",12503,12405.0,26397,18.8,$372,18.1,6572.43
"Morgan, UT",9469,7129.0,28071,25.0,$484,25.7,609.2
"Piute, UT",1556,1435.0,25341,14.3,$415,27.0,757.79
"Rich, UT",2264,1961.0,26465,26.2,$464,22.9,1028.78
"Salt Lake, UT",1029655,898387.0,35805,29.6,$693,21.8,742.28
"San Juan, UT",14746,14413.0,17170,16.3,$343,22.0,7819.99
"Sanpete, UT",27822,22763.0,19329,18.3,$457,18.3,1590.15
"Sevier, UT",20802,18842.0,23081,16.4,$453,15.8,1910.58
"Summit, UT",36324,29736.0,59216,48.2,$845,24.4,1871.71
"Tooele, UT",58218,40735.0,24742,19.1,$635,28.5,6941.35
"Uintah, UT",32588,25224.0,29534,14.5,$626,19.6,4479.69
"Utah, UT",516564,368536.0,21668,34.7,$653,20.1,2003.45
"Wasatch, UT",23530,15215.0,26838,29.5,$820,21.0,1175.5
"Washington, UT",138115,90354.0,24014,22.9,$739,18.3,2426.36
"Wayne, UT",2778,2509.0,23610,25.0,$502,11.1,2460.68
"Weber, UT",231236,196533.0,29669,21.9,$584,21.9,576.08
"Accomack, VA",33164,38305.0,24342,17.8,$444,19.8,449.5
"Albemarle, VA",98970,79236.0,45275,52.5,$850,21.3,720.7
"Alexandria, VA",139966,128283.0,70632,59.0,$1222,29.0,15.03
"Alleghany, VA",16250,12926.0,27793,15.3,$297,25.2,445.46
"Amelia, VA",12690,11400.0,32228,9.6,$561,33.7,355.27
"Amherst, VA",32353,31894.0,27396,17.0,$419,23.3,473.93
"Appomattox, VA",14973,13705.0,28410,12.7,$377,24.8,333.49
"Arlington, VA",207627,189453.0,68270,68.8,$1394,26.2,25.97
"Augusta, VA",73750,65615.0,31161,18.4,$521,22.2,967.0
"Bath, VA",4731,5048.0,34864,11.5,$460,29.1,529.16
"Bedford, VA",68676,60371.0,35934,23.4,$446,26.2,753.02
"Bedford City, VA",6222,6299.0,0,20.5,$450,18.5,6.88
"Bland, VA",6824,6871.0,24923,13.7,$321,28.1,357.73
"Botetourt, VA",33148,30496.0,38127,22.7,$508,25.9,541.2
"Bristol, VA",17835,17367.0,0,18.9,$395,17.8,13.01
"Brunswick, VA",17434,18419.0,22312,12.3,$407,30.0,566.17
"Buchanan, VA",24098,26978.0,26194,8.9,$305,28.6,502.76
"Buckingham, VA",17146,15623.0,22317,12.6,$413,29.8,579.66
